,display,address,x,y
170,예송갤러리,대구광역시 중구 봉산동 222-51,128.5975444,35.862573
171,오산 시립미술관,경기도 오산시 은계동 7-7,127.0770813,37.1602217
172,오산시 유엔군 초전기념관,경기도 오산시 외삼미동 600-1,127.0492189,37.1845239
173,올림픽공원,서울특별시 송파구 방이동 88,127.12295900000001,37.520934000000004
174,올림픽공원 세계평화의문,서울특별시 송파구 방이동,127.1154122,37.518316299999995
175,우림시장,서울특별시 관악구 신림동 637-1,126.92045159999998,37.470430799999995
176,운남동 근린공원,인천광역시 중구 운남동 1242-12,126.52619340000001,37.474066799999996
177,운현궁,서울특별시 종로구 운니동 114-10,126.98705,37.5761249
178,웃는얼굴아트센터,대구광역시 달서구 장기동 722-1,128.5229793,35.84351320000001
179,웃음누리공원,부산광역시 해운대구 좌동,129.167325,35.168601200000005
180,원당시장,경기도 고양시 덕양구 성사동 697-14,126.83734209999999,37.656851700000004
181,유엔군 초전기념비,경기도 오산시 내삼미동 산70-7,127.0497134,37.1840181
182,유엔조각공원,부산광역시 남구 대연동 779-1,129.0975845,35.129588500000004
183,유진민속 박물관,경기도 고양시 덕양구 원흥동 440-2,126.8658085,37.6458771
184,윤봉길 의사 기념관,충청남도 예산군 덕산면 시량리 119-1,126.65278229999998,36.6883935
185,융건릉,경기도 화성시 안녕동 187-39,126.99057520000001,37.212505900000004
186,은평역사한옥박물관,서울특별시 은평구 진관동 135-5,126.93811709999999,37.640252200000006
187,의정부 제일시장,경기도 의정부시 의정부동,127.05152460000001,37.739836600000004
188,이곡장미공원,대구광역시 달서구 이곡동 1306-6,128.5148618,35.85792410000001
189,이대원 장군묘,경기도 평택시 포승읍 희곡리 산83-6,126.8748383,36.969058000000004
190,인사아트프라자갤러리,서울특별시 종로구 관훈동 21,126.98563119999999,37.5738622
191,인왕시장,서울특별시 서대문구 홍제동 298-1,126.94370079999999,37.59085510000001
192,인천 검단선사박물관,인천광역시 서구 원당동 824-11,126.69868740000001,37.594415399999995
193,인천 해돋이공원,인천광역시 연수구 송도동 5-1,126.6545577,37.38769960000001
194,인천개항박물관,인천광역시 중구 중앙동1가 9-2,126.6205598,37.4732795
195,인천관동갤러리,인천광역시 중구 관동2가 4-10,126.62373600000001,37.472789899999995
196,인천대공원,인천광역시 남동구 장수동 산164,126.76098219999999,37.4573965
197,인천대공원 목재문화체험장,인천광역시 남동구 장수동,126.75232290000001,37.4605574
198,인천아트플랫폼,인천광역시 중구 해안동1가 1-5,126.6196807,37.4732477
199,인현시장,서울특별시 중구 인현동2가 192-1,126.99567379999999,37.5636525
200,일산시장,경기도 고양시 일산서구 일산동 617-20,126.77059820000001,37.685238399999996
201,장위전통시장,서울특별시 성북구 장위동 68-185,127.051449,37.61036970000001
202,전태일 기념관,서울특별시 종로구 관수동 152-1,126.98929140000001,37.5684612
203,정동1928 아트센터,서울특별시 중구 정동 1-23,126.97383459999999,37.56789570000001
204,정릉,서울특별시 성북구 정릉동 508,127.0066769,37.6012266
205,조형갤러리,서울특별시 종로구 인사동 194-27 태화빌딩 지하1층,126.984788,37.571933
206,종로신진시장,서울특별시 종로구 종로5가 225-21,127.0050229,37.5703847
207,종묘,서울특별시 종로구 훈정동 1-2,126.9939555,37.5758018
208,좌동재래시장,부산광역시 해운대구 좌동 892,129.1746125,35.173217799999996
209,중랑동부시장,서울특별시 중랑구 면목동 294-19,127.07695420000002,37.5922869
